sku,quantity,name
"5000158066823","4","Lemsip Max"
"5000158060012","3","Disprin Original "
"5010605295195","15","Rennie Spearmint"
"5000167070194","10","Strepsils 24 Lzges"
"5011086811034","1",""
"8006540616079","7","Inhaler Nasel stick"
"50064861","2","Vaseline Rosy Lips"
"8714100597347","10","Vaseline aloe"
"5000158065291","12","Gaviscon small bottle "
"5012131742709","6","Voltrol 30g"
"5011417569504","5","Gavisocon tablets 24"
"3574661150024","6","Calpol bottle strbry"
"3574661665245","8","Calpol Six Plus Strbry"
"50953349","6","Sudocream 60g"
"5011025014007","5","Sudocream 125g"
"3574661440460","7","Johnson’s Baby Cotton Buds 100 Buds"
"3574661440477","1","Johnson’s Baby Cotton Buds 200 Buds"
"50217106","6","Milk Of Magnesia"
"3086125705010","6","Bic 1 Sensitive Razors"
"3014260287030","4","Gillette 2 Razors"
"7702018024612","6","Simply Venus"
"5056175936069","6","Small Dust Pan & Brush"
