sku,quantity,name
"5054267015487","19","Lucozade zero cans "
"90456374","59","Red bull small cans normal "
"90456398","11","Red Bull Normal 335ml"
"90456459","17","Red bull tropical fruits"
"90456442","8","Red bull watermelon "
"5054267015494","17","Lucozade Energy can pink"
"5054267002319","18","Ribena strawberry "
"5054267014060","12","Lucozade pink 500ml"
"5054267015456","36","Orange Luco sport big 750"
"5054267014121","57","Luco sport small orange"
"5054267000704","55","Luco sport raspberry 500ml"
"5054267015524","16","Lucozade sport raspberry 750ml"
"5391521835291","7","Blue Energise"
"5391521835284","25","Orange energise"
"5054267005921","34","Lucozade original zero sugar 500ml"
"5054267013889","8","Lucozade Orange 380ml fizzy "
"5054267014015","12","Lucozade Orange 500ml"
"5054267007086","10","Lucozade Apple 500ml"
"5054267013964","24","Lucozade Original 500ML"
"8004260013635","12","Kitten soft "
"5023997500044","1","FV Kitchen Towels"
"5023997025127","3","Gentille "
"5023997500013","4","Fv soft roll "
"5397136014809","4","Emeralds sweets"
"5397136014540","2","Barratt"
"5010511479276","1","Jamesons "
"8413178390385","3","Jelly Teeth"
"7613287211057","6","Go Cat"
"8700216464628","4","Areil pods box"
"5055926372217","3","Antri freeze triple QX"
"8006540994474","5","Fairl Lemon Small"
"050290","6","Harpic "
"8718924871867","3","Glean active gel"
"8006540994337","5","Fairl big X2 Green"
"8712561256513","3","3 domestos white"
"3361370037513","2","Milton blue 500ml"
"5000186481001","11","Domestos blue"
